idT,text_mark,gram,leks,punkt,orpho,diskurs,skips,extra,gram1,gram2,gram3,gram4,gram5,gram6,gram7,gram8,gram9,gram10,gram11,gram12,gram13,gram14,leks15,leks16,leks17,leks18,diskurs19,diskurs20,diskurs21,diskurs22,g1,g2,g3,numsent,numtoken,numchar
999,10,4,1,0,2,0,0,3,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,0,20,200,852
1000,10,8,0,0,1,2,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,7,4,0,25,305,1631
1001,11,3,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,13,192,837
1002,9,13,2,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,6,8,0,18,186,829
1003,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,64,294
1004,10,5,0,5,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,4,0,15,197,896
1005,11,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,18,230,1181
1006,10,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,3,2,1,16,142,679
1007,10,3,0,1,6,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,7,4,1,16,146,708
1008,9,5,7,3,3,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,6,0,1,0,0,0,0,5,12,1,31,298,1413
1009,10,2,4,5,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,5,1,24,368,1828
1010,10,3,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,18,193,839
1011,11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,64,280
1012,9,5,3,3,1,3,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,3,0,0,4,11,0,15,206,980
1013,10,3,4,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,4,7,2,24,307,1584
1014,9,5,3,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,1,4,4,16,151,668
1015,10,2,1,2,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,9,0,15,173,794
1016,10,9,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,10,99,424
1017,10,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,13,99,424
1019,7,2,7,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,1,0,0,7,0,0,2,16,0,16,180,840
1020,11,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,18,220,934
1021,11,3,0,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,0,22,268,1373
1022,11,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,24,264,1170
1023,10,1,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,6,1,23,204,909
1024,10,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,46,206
1025,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,18,225,1194
1026,11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,20,230,1154
1027,10,4,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,5,0,23,299,1591
1028,7,10,2,5,1,3,0,0,0,4,0,0,0,0,0,2,0,0,0,3,0,1,0,2,0,0,0,3,0,0,6,14,1,16,168,770
1029,8,8,0,0,0,1,0,1,0,1,1,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,7,2,16,171,745
1030,8,3,1,0,3,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,5,0,6,72,284
1031,10,4,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,6,0,18,204,912
1032,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,145,685
1033,6,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,13,150,782
1034,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,139,623
1035,10,3,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,4,0,16,142,667
1037,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,15,150,706
1038,11,6,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,26,355,1956
1039,10,10,3,0,0,0,0,0,0,3,1,0,0,0,0,1,0,2,0,3,0,0,0,3,0,0,0,0,0,0,2,11,0,13,117,513
